trndesc,player,club_badge,club,fee
Arrivals 97/98,David Ginola,,Newcastle,£2.57m
Arrivals 97/98,Moussa Saïb,,Valencia,£2.34m
Arrivals 97/98,José Dominguez,,Sporting CP,£2.16m
Arrivals 97/98,Frode Grodas,,Chelsea,£315Th.
Arrivals 97/98,Jürgen Klinsmann,,Sampdoria,free transfer
Arrivals 97/98,Nicola Berti,,Inter,?
Arrivals 97/98,Neale Fenn,,Leyton Orient,End of loan
Arrivals 97/98,Danny Hill,,Cardiff,End of loan
Arrivals 97/98,Neale Fenn,,Norwich,End of loan
Arrivals 97/98,Stephen Clemence,,Spurs U18,-
Arrivals 97/98,Luke Young,,Spurs U18,-
Arrivals 97/98,Peter Gain,,Spurs U18,-
Arrivals 97/98,David Kerslake,,Charlton,End of loan
Departures 97/98,Teddy Sheringham,,Man Utd,£4.77m
Departures 97/98,Jamie Clapham,,Ipswich,£405Th.
Departures 97/98,Stuart Nethercott,,Millwall,free transfer
Departures 97/98,Kevin Maher,,Southend United,free transfer
Departures 97/98,Neale Fenn,,Leyton Orient,loan transfer
Departures 97/98,Danny Hill,,Cardiff,loan transfer
Departures 97/98,Neale Fenn,,Norwich,loan transfer
Departures 97/98,Paul Mahorn,,Port Vale,free transfer
Departures 97/98,Danny Hill,,Oxford United,free transfer
Departures 97/98,Ronny Rosenthal,,Watford,free transfer
Departures 97/98,David Kerslake,,Ipswich,free transfer
Departures 97/98,David Kerslake,,Charlton,loan transfer
Departures 97/98,Rory Allen,,Luton,loan transfer
Departures 97/98,Jason Dozzell,,Unknown,?
Departures 97/98,Gary Mabbutt,,Retired,-
Arrivals 96/97,Steffen Iversen,,Rosenborg,£2.93m
Arrivals 96/97,John Scales,,Liverpool,£2.70m
Arrivals 96/97,Allan Nielsen,,Bröndby IF,£1.80m
Arrivals 96/97,Ramon Vega,,Cagliari Calcio,?
Arrivals 96/97,Espen Baardsen,,San Francisco United Soccer Club,?
Arrivals 96/97,David Kerslake,,Swindon Town,End of loan
Arrivals 96/97,Kevin Scott,,Charlton,End of loan
Arrivals 96/97,Jamie Clapham,,Leyton Orient,End of loan
Arrivals 96/97,Kevin Scott,,Norwich,End of loan
Arrivals 96/97,Jamie Clapham,,Bristol Rovers,End of loan
Arrivals 96/97,Simon Brown,,Spurs U18,-
Arrivals 96/97,Mark Arber,,Spurs U18,-
Arrivals 96/97,Paul McVeigh,,Spurs U18,-
Arrivals 96/97,Mark Gower,,Spurs U18,-
Arrivals 96/97,Simon Webb,,Spurs U18,-
Departures 96/97,Steve Slade,,QPR,£392Th.
Departures 96/97,Kevin Scott,,Norwich,£315Th.
Departures 96/97,Chris Day,,Crystal Palace,£315Th.
Departures 96/97,Andy Turner,,Portsmouth,£282Th.
Departures 96/97,Jamie Clapham,,Leyton Orient,loan transfer
Departures 96/97,Jamie Clapham,,Bristol Rovers,loan transfer
Departures 96/97,David Kerslake,,Swindon Town,loan transfer
Departures 96/97,Kevin Scott,,Norwich,loan transfer
Departures 96/97,Owen Coll,,Bournemouth,?
Departures 96/97,Gerry McMahon,,Stoke City,?
Departures 96/97,Kevin Scott,,Charlton,loan transfer
Departures 96/97,Erik Thorstvedt,,Retired,-
Arrivals 95/96,Chris Armstrong,,Crystal Palace,£6.12m
Arrivals 95/96,Ruel Fox,,Newcastle,£4.28m
Arrivals 95/96,Andy Sinton,,Sheff Wed,£1.64m
Arrivals 95/96,Clive Wilson,,QPR,free transfer
Arrivals 95/96,Owen Coll,,Yeovil Town,?
Arrivals 95/96,Rory Allen,,Unknown,?
Arrivals 95/96,Mark Newson,,Barnet,loan transfer
Arrivals 95/96,Ian Sampson,,Northampton,loan transfer
Arrivals 95/96,Danny Hill,,Birmingham,End of loan
Arrivals 95/96,Andy Turner,,Huddersfield,End of loan
Arrivals 95/96,Paul Mahorn,,Burnley,End of loan
Arrivals 95/96,Danny Hill,,Watford,End of loan
Arrivals 95/96,Andy Turner,,Southend United,End of loan
Arrivals 95/96,Kevin Maher,,Spurs U18,-
Arrivals 95/96,Neale Fenn,,Spurs U18,-
Arrivals 95/96,John Hendry,,Swansea,End of loan
Departures 95/96,Nick Barmby,,Middlesbrough,£6.75m
Departures 95/96,Gheorghe Popescu,,FC Barcelona,£2.52m
Departures 95/96,Ilie Dumitrescu,,West Ham,£1.35m
Departures 95/96,Jürgen Klinsmann,,FC Bayern ,£1.26m
Departures 95/96,John Hendry,,Motherwell FC,£270Th.
Departures 95/96,Danny Hill,,Watford,loan transfer
Departures 95/96,Paul Mahorn,,Burnley,loan transfer
Departures 95/96,Andy Turner,,Southend United,loan transfer
Departures 95/96,Danny Hill,,Birmingham,loan transfer
Departures 95/96,Andy Turner,,Huddersfield,loan transfer
Departures 95/96,Owen Coll,,Yeovil Town,loan transfer
Departures 95/96,Micky Hazard,,Retired,-
Departures 95/96,Alan Pardew,,Charlton,End of loan
Departures 95/96,Mark Newson,,Barnet,End of loan
Departures 95/96,Ian Sampson,,Northampton,End of loan
Departures 95/96,David Byrne,,St. Mirren,End of loan
Arrivals 94/95,Ilie Dumitrescu,,Steaua Bukarest,£3.33m
Arrivals 94/95,Gheorghe Popescu,,PSV Eindhoven,£2.61m
Arrivals 94/95,Jürgen Klinsmann,,Monaco,£2.48m
Arrivals 94/95,Gerry McMahon,,Barnet,End of loan
Arrivals 94/95,Owen Coll,,Enfield FC,?
Arrivals 94/95,Kevin Scott,,Port Vale,End of loan
Arrivals 94/95,Gerry McMahon,,Tottenham U21,-
Arrivals 94/95,Jamie Clapham,,Spurs U18,-
Arrivals 94/95,Steve Slade,,Tottenham U21,-
Arrivals 94/95,Andy Turner,,Wycombe,End of loan
Arrivals 94/95,Gudni Bergsson,,Valur,End of loan
Arrivals 94/95,Andy Turner,,Doncaster,End of loan
Departures 94/95,Gudni Bergsson,,Bolton,£86Th.
Departures 94/95,Ilie Dumitrescu,,Sevilla FC,loan transfer
Departures 94/95,Lee Hodges,,Barnet,free transfer
Departures 94/95,Neil Young,,Bournemouth,free transfer
Departures 94/95,Andy Quy,,Derby,free transfer
Departures 94/95,Andy Turner,,Wycombe,loan transfer
Departures 94/95,Steve Robinson,,Bournemouth,free transfer
Departures 94/95,Andy Turner,,Doncaster,loan transfer
Departures 94/95,Kevin Scott,,Port Vale,loan transfer
Departures 94/95,Vinny Samways,,Everton,?
Departures 94/95,Paul Moran,,Peterborough,?
Departures 94/95,Jeff Minton,,Brighton,?
Departures 94/95,Peter Beadle,,Watford,?
Departures 94/95,John Hendry,,Swansea,loan transfer
Departures 94/95,Gerry McMahon,,Barnet,loan transfer
Arrivals 93/94,Jason Dozzell,,Ipswich,£2.16m
Arrivals 93/94,Kevin Scott,,Newcastle,£990Th.
Arrivals 93/94,David Kerslake,,Leeds,£507Th.
Arrivals 93/94,Ronny Rosenthal,,Liverpool,£270Th.
Arrivals 93/94,Micky Hazard,,Swindon Town,£50Th.
Arrivals 93/94,Colin Calderwood,,Swindon Town,?
Arrivals 93/94,Garry Brady,,Celtic Boys Club,?
Arrivals 93/94,Lee Hodges,,Wycombe,End of loan
Arrivals 93/94,Chris Day,,Spurs U18,-
Arrivals 93/94,Steve Robinson,,Leyton Orient,End of loan
Arrivals 93/94,Paul Mahorn,,Fulham,End of loan
Arrivals 93/94,Peter Beadle,,Southend United,End of loan
Arrivals 93/94,Stephen Carr,,Spurs U18,-
Arrivals 93/94,Andy Quy,,Spurs U18,-
Arrivals 93/94,Ijah Anderson,,Spurs U18,-
Departures 93/94,Neil Ruddock,,Liverpool,£2.70m
Departures 93/94,Gordon Durie,,Rangers,£1.62m
Departures 93/94,Steve Sedgley,,Ipswich,£1.13m
Departures 93/94,Paul Allen,,Southampton,£594Th.
Departures 93/94,Ian Hendon,,Leyton Orient,£59Th.
Departures 93/94,Lee Hodges,,Wycombe,loan transfer
Departures 93/94,Steve Robinson,,Leyton Orient,loan transfer
Departures 93/94,Paul Mahorn,,Fulham,loan transfer
Departures 93/94,Pat van den Hauwe,,Millwall,free transfer
Departures 93/94,Ijah Anderson,,Southend United,free transfer
Departures 93/94,David McDonald,,Peterborough,free transfer
Departures 93/94,Kevin Watson,,Brentford,free transfer
Departures 93/94,Peter Beadle,,Southend United,loan transfer
Departures 93/94,Nayim,,Real Zaragoza,?
Departures 93/94,Dave Tuttle,,Sheff Utd,?
Departures 93/94,Terry Fenwick,,Swindon Town,?
Departures 93/94,Gudni Bergsson,,Valur,loan transfer
Departures 93/94,Andy Gray,,Atl. Marbella,?
Arrivals 92/93,Teddy Sheringham,,Nottm Forest,£2.84m
Arrivals 92/93,Darren Anderton,,Portsmouth,£2.43m
Arrivals 92/93,Neil Ruddock,,Southampton,£765Th.
Arrivals 92/93,Dean Austin,,Southend United,?
Arrivals 92/93,David McDonald,,Reading,End of loan
Arrivals 92/93,David McDonald,,Bradford,End of loan
Arrivals 92/93,Ian Hendon,,Barnsley FC,End of loan
Arrivals 92/93,Dave Tuttle,,Peterborough,End of loan
Arrivals 92/93,Andy Gray,,Swindon Town,End of loan
Arrivals 92/93,Peter Beadle,,Bournemouth,End of loan
Arrivals 92/93,Lee Hodges,,Plymouth,End of loan
Arrivals 92/93,Sol Campbell,,Spurs U18,-
Arrivals 92/93,Steve Robinson,,Spurs U18,-
Arrivals 92/93,Kevin Watson,,Spurs U18,-
Arrivals 92/93,Danny Hill,,Spurs U18,-
Departures 92/93,Paul Gascoigne,,Lazio,£6.66m
Departures 92/93,Paul Stewart,,Liverpool,£2.48m
Departures 92/93,Paul Walsh,,Portsmouth,£405Th.
Departures 92/93,Lee Hodges,,Plymouth,loan transfer
Departures 92/93,Ian Hendon,,Barnsley FC,loan transfer
Departures 92/93,David McDonald,,Reading,loan transfer
Departures 92/93,Peter Beadle,,Bournemouth,loan transfer
Departures 92/93,Gary Lineker,,Nagoya Grampus,free transfer
Departures 92/93,Mark Robson,,West Ham,free transfer
Departures 92/93,Andy Gray,,Swindon Town,loan transfer
Departures 92/93,Dave Tuttle,,Peterborough,loan transfer
Departures 92/93,John Hendry,,Charlton,loan transfer
Departures 92/93,Ian Gilzean,,Doncaster,?
Departures 92/93,David McDonald,,Bradford,?
Arrivals 91/92,Gordon Durie,,Chelsea,£2.97m
Arrivals 91/92,Andy Gray,,Crystal Palace,£788Th.
Arrivals 91/92,Peter Beadle,,Gillingham FC,£330Th.
Arrivals 91/92,Andy Gray,,Crystal Palace,loan transfer
Arrivals 91/92,Terry Fenwick,,Leicester,?
Arrivals 91/92,Brian Statham,,Bournemouth,End of loan
Arrivals 91/92,Ian Hendon,,Portsmouth,End of loan
Arrivals 91/92,Brian Statham,,Brentford,End of loan
Arrivals 91/92,Andy Turner,,Spurs U18,-
Arrivals 91/92,Ian Hendon,,Leyton Orient,End of loan
Arrivals 91/92,Mark Robson,,Exeter City,End of loan
Arrivals 91/92,Lee Hodges,,Spurs U18,-
Arrivals 91/92,Nick Barmby,,Spurs U18,-
Arrivals 91/92,Neil Young,,Spurs U18,-
Departures 91/92,Mitchell Thomas,,West Ham,£570Th.
Departures 91/92,Phil Gray,,Luton,£540Th.
Departures 91/92,John Moncur,,Ipswich,£221Th.
Departures 91/92,Brian Statham,,Brentford,£75Th.
Departures 91/92,Ian Hendon,,Portsmouth,loan transfer
Departures 91/92,Mark Robson,,Exeter City,loan transfer
Departures 91/92,Ian Hendon,,Leyton Orient,loan transfer
Departures 91/92,Brian Statham,,Brentford,loan transfer
Departures 91/92,Neil Smith,,Gillingham FC,?
Departures 91/92,Matthew Edwards,,Peterborough,?
Departures 91/92,Brian Statham,,Bournemouth,loan transfer
Departures 91/92,Andy Gray,,Crystal Palace,End of loan
Arrivals 90/91,John Hendry,,Dundee FC,£68Th.
Arrivals 90/91,Justin Edinburgh,,Southend United,?
Arrivals 90/91,David McDonald,,Gillingham FC,End of loan
Arrivals 90/91,Brian Statham,,Reading,End of loan
Arrivals 90/91,Ian Walker,,Oxford United,End of loan
Arrivals 90/91,Ian Walker,,Ipswich,End of loan
Arrivals 90/91,Phil Gray,,Fulham,End of loan
Departures 90/91,Guy Butters,,Portsmouth,£495Th.
Departures 90/91,John Polston,,Norwich,£284Th.
Departures 90/91,Bobby Mimms,,Blackburn,£261Th.
Departures 90/91,Chris Hughton,,West Ham,free transfer
Departures 90/91,Ian Walker,,Oxford United,loan transfer
Departures 90/91,Ian Walker,,Ipswich,loan transfer
Departures 90/91,Terry Fenwick,,Leicester,?
Departures 90/91,Brian Statham,,Reading,loan transfer
Departures 90/91,Matthew Edwards,,Reading,loan transfer
Departures 90/91,David McDonald,,Gillingham FC,?
Departures 90/91,Phil Gray,,Fulham,loan transfer
Arrivals 89/90,Steve Sedgley,,Coventry,£844Th.
Arrivals 89/90,Pat van den Hauwe,,Everton,£684Th.
Arrivals 89/90,Justin Edinburgh,,Southend United,Loan fee:£153Th.
Arrivals 89/90,Mark Robson,,Watford,loan transfer
Arrivals 89/90,John Moncur,,Brentford,?
Arrivals 89/90,Dave Tuttle,,Unknown,?
Arrivals 89/90,Gary Lineker,,FC Barcelona,?
Arrivals 89/90,Phil Gray,,Barnsley FC,End of loan
Arrivals 89/90,Guy Butters,,Southend United,End of loan
Arrivals 89/90,Mark Robson,,Plymouth,End of loan
Arrivals 89/90,Ian Walker,,Spurs U18,-
Arrivals 89/90,Ian Hendon,,Spurs U18,-
Arrivals 89/90,Matthew Edwards,,Spurs U18,-
Departures 89/90,Chris Waddle,,Marseille,£4.86m
Departures 89/90,Mark Stimson,,Newcastle,£207Th.
Departures 89/90,Guy Butters,,Southend United,loan transfer
Departures 89/90,Mark Robson,,Plymouth,loan transfer
Departures 89/90,Phil Gray,,Barnsley FC,loan transfer
Departures 89/90,Chris Fairclough,,Leeds,?
Departures 89/90,Tommy Fitzgerald,,Shelbourne,?
Departures 89/90,Gary Stevens,,Portsmouth,?
Departures 89/90,Mark Robson,,Watford,End of loan
Arrivals 88/89,Paul Gascoigne,,Newcastle,£4.68m
Arrivals 88/89,Paul Stewart,,Man City,£1.80m
Arrivals 88/89,Gudni Bergsson,,Valur,£135Th.
Arrivals 88/89,Erik Thorstvedt,,IFK Göteborg,?
Arrivals 88/89,David McDonald,,Unknown,?
Arrivals 88/89,Nayim,,FC Barcelona,?
Arrivals 88/89,Mark Stimson,,Gillingham FC,End of loan
Arrivals 88/89,Guy Butters,,Spurs U18,-
Arrivals 88/89,Martin McIntosh,,Spurs U18,-
Arrivals 88/89,Ian Gilzean,,Spurs U18,-
Departures 88/89,Nico Claesen,,Royal Antwerp,£765Th.
Departures 88/89,Steve Hodge,,Nottm Forest,£563Th.
Departures 88/89,Neil Ruddock,,Millwall,£324Th.
Departures 88/89,John Metgod,,Feyenoord,£286Th.
Departures 88/89,Martin McIntosh,,St. Mirren,free transfer
Departures 88/89,John Chiedozie,,Derby,free transfer
Departures 88/89,Chris Fairclough,,Leeds,loan transfer
Departures 88/89,Tony Parks,,Brentford,?
Departures 88/89,Tim O'Shea,,Leyton Orient,?
Departures 88/89,Eddie Gormley,,Chesterfield FC,?
Departures 88/89,Mark Stimson,,Gillingham FC,loan transfer
Departures 88/89,Danny Thomas,,Retired,-
Arrivals 87/88,Paul Walsh,,Liverpool,£518Th.
Arrivals 87/88,Bobby Mimms,,Everton,£344Th.
Arrivals 87/88,Mark Robson,,Exeter City,£56Th.
Arrivals 87/88,Terry Fenwick,,QPR,?
Arrivals 87/88,Mark Stimson,,Leyton Orient,End of loan
Arrivals 87/88,John Metgod,,Nottm Forest,?
Arrivals 87/88,Chris Fairclough,,Nottm Forest,?
Arrivals 87/88,Eddie Gormley,,Bray Wanderers,?
Arrivals 87/88,Mark Robson,,Reading,End of loan
Arrivals 87/88,Brian Statham,,Spurs U18,-
Departures 87/88,Richard Gough,,Rangers,£2.25m
Departures 87/88,Clive Allen,,G. Bordeaux,£990Th.
Departures 87/88,Mark Bowen,,Norwich,£90Th.
Departures 87/88,Richard Cooke,,Bournemouth,£63Th.
Departures 87/88,Mark Robson,,Reading,loan transfer
Departures 87/88,Osvaldo Ardiles,,Blackburn,?
Departures 87/88,Mark Stimson,,Leyton Orient,loan transfer
Departures 87/88,Glenn Hoddle,,Monaco,?
Departures 87/88,Tony Galvin,,Sheff Wed,?
Departures 87/88,Paul Miller,,Charlton,?
Departures 87/88,Danny Maddix,,QPR,?
Departures 87/88,Ray Clemence,,Retired,-
Arrivals 86/87,Richard Gough,,Dundee United,£1.35m
Arrivals 86/87,Nico Claesen,,Standard Liège,£765Th.
Arrivals 86/87,Steve Hodge,,Aston Villa,£675Th.
Arrivals 86/87,Mitchell Thomas,,Luton,£253Th.
Arrivals 86/87,Neil Ruddock,,Millwall,£54Th.
Arrivals 86/87,Danny Maddix,,Southend United,End of loan
Arrivals 86/87,Richard Cooke,,Birmingham,End of loan
Departures 86/87,Graham Roberts,,Rangers,£495Th.
Departures 86/87,Ian Crook,,Norwich,£91Th.
Departures 86/87,Ally Dick,,Ajax,£31Th.
Departures 86/87,Steve Perryman,,Oxford United,?
Departures 86/87,Mark Falco,,Watford,?
Departures 86/87,Richard Cooke,,Birmingham,loan transfer
Departures 86/87,Danny Maddix,,Southend United,loan transfer
Arrivals 85/86,Chris Waddle,,Newcastle,£630Th.
Arrivals 85/86,Paul Allen,,West Ham,£432Th.
Arrivals 85/86,Pat Jennings,,Arsenal,free transfer
Arrivals 85/86,John Polston,,Spurs U18,-
Arrivals 85/86,Danny Maddix,,Spurs U18,-
Arrivals 85/86,Mark Stimson,,Spurs U18,-
Departures 85/86,Micky Hazard,,Chelsea,£315Th.
Departures 85/86,Ian Culverhouse,,Norwich,£57Th.
Departures 85/86,Pat Jennings,,Everton,?
Departures 85/86,Allan Cockram,,Unknown,?
Departures 85/86,Garth Crooks,,West Brom,?
Departures 85/86,Dave Leworthy,,Oxford United,?
Arrivals 84/85,Clive Allen,,QPR,£720Th.
Arrivals 84/85,John Chiedozie,,Notts County,£396Th.
Arrivals 84/85,Dave Leworthy,,Fareham Town,?
Arrivals 84/85,David Howells,,Tottenham Yth.,-
Arrivals 84/85,Osvaldo Ardiles,,St. George Saints,End of loan
Arrivals 84/85,Simon Webster,,Norwich,End of loan
Arrivals 84/85,Simon Webster,,Huddersfield,End of loan
Arrivals 84/85,Tim O'Shea,,Spurs U18,-
Departures 84/85,Steve Archibald,,FC Barcelona,£1.80m
Departures 84/85,Alan Brazil,,Man Utd,£621Th.
Departures 84/85,Gary O'Reilly,,Brighton,£72Th.
Departures 84/85,Simon Webster,,Norwich,loan transfer
Departures 84/85,Simon Webster,,Huddersfield,loan transfer
Departures 84/85,Simon Webster,,Huddersfield,£17Th.
Departures 84/85,Garry Brooke,,Norwich,?
Departures 84/85,Osvaldo Ardiles,,St. George Saints,loan transfer
Departures 84/85,Robert Brace,,Waterschei Thor,?
Arrivals 83/84,Danny Thomas,,Coventry,£270Th.
Arrivals 83/84,Gary Stevens,,Brighton,?
Arrivals 83/84,Alan Brazil,,Ipswich,?
Arrivals 83/84,Garth Crooks,,Man Utd,End of loan
Arrivals 83/84,Simon Webster,,Exeter City,End of loan
Arrivals 83/84,Richard Cooke,,Spurs U18,-
Arrivals 83/84,Mark Bowen,,Tottenham U21,-
Arrivals 83/84,Ian Culverhouse,,Spurs U18,-
Departures 83/84,Simon Webster,,Exeter City,loan transfer
Departures 83/84,Terry Gibson,,Coventry,?
Departures 83/84,John Lacy,,Crystal Palace,?
Departures 83/84,Ricky Villa,,FL Strikers,?
Departures 83/84,Giorgio Mazzon,,Aldershot FC,?
Departures 83/84,Garth Crooks,,Man Utd,loan transfer
Departures 83/84,Peter Southey,,Retired,-
Arrivals 82/83,Gary Mabbutt,,Bristol Rovers,?
Arrivals 82/83,Osvaldo Ardiles,,Paris SG,End of loan
Arrivals 82/83,Ally Dick,,Spurs U18,-
Arrivals 82/83,Robert Brace,,Spurs U18,-
Arrivals 82/83,Mark Falco,,Chelsea,End of loan
Departures 82/83,Chris Jones,,Man City,£110Th.
Departures 82/83,Gordon Smith,,Wolves,free transfer
Departures 82/83,Mark Falco,,Chelsea,loan transfer
Departures 82/83,Osvaldo Ardiles,,Paris SG,loan transfer
Departures 82/83,Milija Aleksic,,Barnet,?
Arrivals 81/82,Ray Clemence,,Liverpool,£306Th.
Arrivals 81/82,Allan Cockram,,Spurs U18,-
Departures 81/82,Terry Yorath,,Whitecaps,?
Departures 81/82,Barry Daines,,Unknown,?
Departures 81/82,Don McAllister,,Charlton,?
Arrivals 80/81,Steve Archibald,,Aberdeen FC,£1.13m
Arrivals 80/81,Garth Crooks,,Stoke City,£684Th.
Arrivals 80/81,Graham Roberts,,Weymouth FC,£36Th.
Arrivals 80/81,Terry Gibson,,GAIS,End of loan
Arrivals 80/81,Tony Parks,,Tottenham U21,-
Arrivals 80/81,Ian Crook,,Spurs U18,-
Arrivals 80/81,Gary O'Reilly,,Spurs U18,-
Arrivals 80/81,Garry Brooke,,GAIS,End of loan
Departures 80/81,Gerry Armstrong,,Watford,£270Th.
Departures 80/81,Jimmy Holmes,,Whitecaps,£104Th.
Departures 80/81,Terry Gibson,,GAIS,loan transfer
Departures 80/81,Peter Taylor,,Leyton Orient,?
Departures 80/81,Mark Kendall,,Newport County,?
Departures 80/81,Terry Naylor,,Charlton,?
Arrivals 79/80,Terry Yorath,,Coventry,£320Th.
Arrivals 79/80,Terry Gibson,,Unknown,?
Arrivals 79/80,Giorgio Mazzon,,Hertford Town,?
Arrivals 79/80,Peter Southey,,Spurs U18,-
Arrivals 79/80,Mike Dillon,,Spurs U18,-
Departures 79/80,Colin Lee,,Chelsea,£203Th.
Departures 79/80,Garry Brooke,,GAIS,loan transfer
Departures 79/80,John Pratt,,Timbers,?
Departures 79/80,John Duncan,,Derby,?
Departures 79/80,John Gorman,,TB Rowdies,?
Arrivals 78/79,John Lacy,,Fulham,£198Th.
Arrivals 78/79,Gordon Smith,,Aston Villa,£156Th.
Arrivals 78/79,Milija Aleksic,,Luton,£106Th.
Arrivals 78/79,Osvaldo Ardiles,,Huracán,?
Arrivals 78/79,Ricky Villa,,Racing Club,?
Arrivals 78/79,Mark Falco,,Tottenham U21,-
Arrivals 78/79,Garry Brooke,,Spurs U18,-
Departures 78/79,Neil McNab,,Bolton,£248Th.
Departures 78/79,Ralph Coates,,St. George Saints,free transfer
Departures 78/79,Mark Kendall,,Chesterfield FC,loan transfer
Departures 78/79,Ian Moores,,Leyton Orient,?
Departures 78/79,Micky Stead,,Southend United,?
Arrivals 77/78,Colin Lee,,Torquay United,£59Th.
Arrivals 77/78,Tony Galvin,,Unknown,?
Arrivals 77/78,Micky Hazard,,Spurs U18,-
Arrivals 77/78,Chris Hughton,,Tottenham U21,-
Arrivals 77/78,Don McAllister,,Diplomats,End of loan
Departures 77/78,Pat Jennings,,Arsenal,£45Th.
Departures 77/78,Steve Walford,,Arsenal,£27Th.
Departures 77/78,Terry Boyle,,Crystal Palace,?
Departures 77/78,Noel Brotherston,,Blackburn,?
Arrivals 76/77,Peter Taylor,,Crystal Palace,£429Th.
Arrivals 76/77,Jimmy Holmes,,Coventry,£126Th.
Arrivals 76/77,Ian Moores,,Stoke City,?
Arrivals 76/77,John Gorman,,Carlisle United,?
Arrivals 76/77,Paul Miller,,Tottenham U21,-
Arrivals 76/77,Mark Kendall,,Spurs U18,-
Departures 76/77,Keith Osgood,,Coventry,£140Th.
Departures 76/77,Martin Chivers,,Servette FC,£90Th.
Departures 76/77,Chris McGrath,,Man Utd,£41Th.
Departures 76/77,Willie Young,,Arsenal,?
Departures 76/77,Don McAllister,,Diplomats,loan transfer
Departures 76/77,Jimmy Neighbour,,Norwich,?
Departures 76/77,Alfie Conn,,Celtic,?
Arrivals 75/76,Gerry Armstrong,,Bangor,£27Th.
Arrivals 75/76,John Duncan,,Dundee FC,?
Arrivals 75/76,Willie Young,,Aberdeen FC,?
Arrivals 75/76,Chris McGrath,,Millwall,End of loan
Arrivals 75/76,Terry Boyle,,Spurs U18,-
Departures 75/76,Wayne Cegielski,,Stuttg. Kickers,?
Departures 75/76,Chris McGrath,,Millwall,loan transfer
Departures 75/76,Phil Beal,,Brighton,?
Departures 75/76,Mike Dillon,,NY Cosmos,?
Departures 75/76,Mike England,,Cardiff,?
Departures 75/76,Joe Kinnear,,Brighton,?
Departures 75/76,Cyril Knowles,,Retired,-
Arrivals 74/75,Don McAllister,,Bolton,£90Th.
Arrivals 74/75,Micky Stead,,Spurs U18,-
Departures 74/75,Martin Peters,,Norwich,£52Th.
Departures 74/75,John Margerrison,,Fulham,free transfer
Departures 74/75,Wayne Cegielski,,Northampton,loan transfer
Departures 74/75,Ray Evans,,Millwall,?
Departures 74/75,Alan Gilzean,,Unknown,?
Departures 74/75,Phil Holder,,Crystal Palace,?
Departures 74/75,Peter Collins,,Unknown,?
Arrivals 73/74,Glenn Hoddle,,Watford,?
Arrivals 73/74,Wayne Cegielski,,Unknown,?
Arrivals 73/74,Alfie Conn,,Rangers,?
Arrivals 73/74,Neil McNab,,Morton,?
Arrivals 73/74,Chris Jones,,Spurs U18,-
Arrivals 73/74,Noel Brotherston,,Spurs U18,-
Departures 73/74,Ray Clarke,,Swindon Town,?
Departures 73/74,Jimmy Pearce,,Retired,-
Departures 73/74,Roger Morgan,,Retired,-
Arrivals 72/73,John Margerrison,,Tottenham U21,-
Departures 72/73,Alan Mullery,,Fulham,£63Th.
Departures 72/73,John Cutbush,,Fulham,?
Departures 72/73,Tony Want,,Birmingham,?
Departures 72/73,David Jenkins,,Brentford,?
Arrivals 71/72,Ralph Coates,,Burnley,£225Th.
Arrivals 71/72,Chris McGrath,,Spurs U18,-
Departures 71/72,Neil Johnson,,Torquay United,?
Departures 71/72,Ken Hancock,,Bury,?
Departures 70/71,Dennis Bond,,Charlton,?
Arrivals 69/70,Martin Peters,,West Ham,£209Th.
Arrivals 69/70,Jimmy Neighbour,,Unknown,?
Arrivals 69/70,Terry Naylor,,Tottenham U21,-
Arrivals 69/70,Ray Clarke,,Tottenham Yth.,-
Arrivals 69/70,Barry Daines,,Spurs U18,-
Departures 69/70,Terry Venables,,QPR,£74Th.
Departures 69/70,Jimmy Greaves,,West Ham,?
Arrivals 68/69,Ken Hancock,,Ipswich,£7Th.
Arrivals 68/69,Roger Morgan,,QPR,?
Arrivals 68/69,David Jenkins,,Arsenal,?
Arrivals 68/69,Steve Perryman,,Tottenham U21,-
Arrivals 68/69,John Pratt,,Tottenham U21,-
Departures 68/69,Dave Mackay,,Derby,£9Th.
Departures 68/69,Jimmy Robertson,,Arsenal,?
Departures 68/69,Cliff Jones,,Fulham,?
Departures 68/69,Roger Hoy,,Crystal Palace,?
Arrivals 67/68,Martin Chivers,,Southampton,£135Th.
Arrivals 67/68,Peter Collins,,Chelmsford City,?
Arrivals 67/68,Ray Evans,,Tottenham U21,-
Departures 67/68,Frank Saul,,Southampton,?
Departures 67/68,Keith Weller,,Millwall,?
Departures 67/68,Derek Possee,,Millwall,?
Departures 67/68,Ron Henry,,Retired,-
Arrivals 66/67,Terry Venables,,Chelsea,£85Th.
Arrivals 66/67,Dennis Bond,,Watford,£31Th.
Arrivals 66/67,Mike England,,Blackburn,?
Arrivals 66/67,John Cutbush,,Tottenham U21,-
Departures 66/67,Peter Baker,,Durban United,free transfer
Departures 66/67,Bill Brown,,Northampton,?
Departures 66/67,Laurie Brown,,Norwich,?
Departures 66/67,Roy Low,,Watford,?
Departures 66/67,Maurice Norman,,Retired,-
Arrivals 65/66,Neil Johnson,,Unknown,?
Arrivals 65/66,Joe Kinnear,,Tottenham U21,-
Arrivals 65/66,Jimmy Pearce,,Spurs U18,-
Arrivals 65/66,Tony Want,,Spurs U18,-
Departures 65/66,Terry Dyson,,Fulham,?
Departures 65/66,Tony Marchi,,Cambridge City,?
Departures 65/66,Les Allen,,QPR,?
